变量,第一阶段,第二阶段(2SLS),OLS对比,,,,
IV(同校其他年级均值),0.859***,,,(0.017),,,
cls_mean_edu_z,,0.001,-0.013,,(0.021),(0.021),
控制变量,是,是,是,,,,
Partial F,"63,080.2",,,,,,
R²,0.741,0.008,0.008,,,,
N,"17,079","17,079","17,079",,,,
,,,,,,,
Hansen J检验,"J=9.064, p=0.003",,,,,,
