中介路径,总效应(c),间接效应(a×b),间接效应se,直接效应(c'),Sobel z,Sobel p,中介比例%,N
教养质量,-0.0082,-0.0196,(0.0040),0.0113,-4.847,0.0000,237.8,16866
教育投资,-0.0084,-0.0015,(0.0013),-0.0069,-1.139,0.2548,17.9,17157
