,mental_common_z,cls_mean_max_education,ses_index,academic_pressure_z,parent_investment_z,tscore,gender
mental_common_z,1.0,-0.04545420454098845,-0.08551667775646851,0.16543847490011263,0.06325237491268398,-0.07133247445613242,-0.030456544388618823
cls_mean_max_education,-0.04545420454098845,1.0,0.6560327163444536,-0.1079455473785808,-0.04764387435058676,0.3340343928170854,-0.02114416729504703
ses_index,-0.08551667775646851,0.6560327163444536,1.0,-0.11579882056170226,-0.03641914086397115,0.2564216269226414,-0.007501278049484019
academic_pressure_z,0.16543847490011263,-0.1079455473785808,-0.11579882056170226,1.0,-0.11029371616096609,-0.09694892958626718,0.057182274672822116
parent_investment_z,0.06325237491268398,-0.04764387435058676,-0.03641914086397115,-0.11029371616096609,1.0,-0.10526284053347904,0.053714331185038176
tscore,-0.07133247445613242,0.3340343928170854,0.2564216269226414,-0.09694892958626718,-0.10526284053347904,1.0,-0.17933799928206198
gender,-0.030456544388618823,-0.02114416729504703,-0.007501278049484019,0.057182274672822116,0.053714331185038176,-0.17933799928206198,1.0
